artist_name,track_title,url_has_any,paid_has_any,direct_has_any,bandcamp_url,discogs_url,spotify_url,soundcloud_url,youtube_url,apple_music_url,other_url,weathervane_url,mix_rescue_url
Allegria,Mendelssohn Movement 1,0,0,0,,,,,,,,,
Amadeus Redux,Mozart Allegro,0,0,0,,,,,,,,,
Amadeus Redux,Schubert Movement 2,0,0,0,,,,,,,,,
Amadeus Redux,Schubert Movement 3,0,0,0,,,,,,,,,
Barefoot Sisters,Red Jetta,0,0,0,,,,,,,,,
Caitlin Michelle Remmel & Benjamin Hood,Don't Hear A Thing,0,0,0,,,,,,,,,
Cameron-Mitchell Ware & Sergi Casanelles,Yes Sir I Can Fly,0,0,0,,,,,,,,,
Chris Jacoby,Booth Shot Lincoln,0,0,0,,,,,,,,,
Chris Jacoby,Pigs Foot,0,0,0,,,,,,,,,
Croque Madame,Oil,0,0,0,,,,,,,,,
Croque Madame,Pilot (Lakelot),0,0,0,,,,,,,,,
Dahka Band,Soldier Man,0,0,0,,,,,,,,,
Declare A String,Mendelssohn Piano Trio 1 Movement 1,0,0,0,,,,,,,,,
Declare a String,Mendelssohn Piano Trio 1 Movement 2,0,0,0,,,,,,,,,
Ethan Hein,1930s Synth and Upright Bass,1,0,0,,,,,,,https://www.ethanhein.com/wp/,,
Ethan Hein,Blues For Nofi,0,0,0,,,,,,,,,
Ethan Hein,Girl On A Bridge,0,0,0,,,,,,,,,
Ethan Hein,Harmonica Figure,1,1,1,https://ethanhein.bandcamp.com/track/harmonica-figure-disquiet0042?from=search&search_item_id=3865976674&search_item_type=t&search_match_part=%3F&search_page_id=4447024171&search_page_no=1&search_rank=1&search_sig=6fa5ae652d33f0bc6d28e264e14b8a4b,,,,,,,,
Falling Sparks,Improvisation 1,0,0,0,,,,,,,,,
Falling Sparks,Improvisation 2,0,0,0,,,,,,,,,
Falling Sparks,Improvisation 3,0,0,0,,,,,,,,,
Falling Sparks,Pak Klong Talad,0,0,0,,,,,,,,,
Family Band,Again,1,1,0,,,,https://soundcloud.com/wvmusic/family-band-again,,,,https://weathervanemusic.org/shakingthrough/familyband,
Fennel Cartwright,Dear Tessie,0,0,0,,,,,,,,,
Fennel Cartwright,Flower Drum Song,0,0,0,,,,,,,,,
Fennel Cartwright,Winter Lake,0,0,0,,,,,,,,,
Filthy Bird,I'd Like To Know,0,0,0,,,,,,,,,
Fruit Cathedral,Keep Me Runnin,0,0,0,,,,,,,,,
Hops 'n Vinyl,Chicken Fried Steak,0,0,0,,,,,,,,,
Hops ’n Vinyl,Honey Brown,0,0,0,,,,,,,,,
Hops ’n Vinyl,Reign Check,0,0,0,,,,,,,,,
Hops ’n Vinyl,Widows Walk,0,0,0,,,,,,,,,
Karachacha,Volamos,0,0,0,,,,,,,,,
Karim Douaidy,Hopscotch,0,0,0,,,,,,,,,
Karim Douaidy,Yatora,0,0,0,,,,,,,,,
Katzn,Charlie Knox,0,0,0,,,,,,,,,
Liz Nelson,I'm Coming Home,0,0,0,,,,,,,,,
Liz Nelson & Jennifer Davies,Coldwar,0,0,0,,,,,,,,,
Liz Nelson & Jennifer Davies,Rainfall,0,0,0,,,,,,,,,
Matthew Entwistle,An Evening With Oliver,0,0,0,,,,,,,,,
Matthew Entwistle,Dont You Ever,0,0,0,,,,,,,,,
Matthew Entwistle,Fairer Hopes,0,0,0,,,,,,,,,
Matthew Entwistle,Impressions of Saturn,0,0,0,,,,,,,,,
Matthew Entwistle,Lontano,0,0,0,,,,,,,,,
Matthew Entwistle,The Arch,0,0,0,,,,,,,,,
Matthew Entwistle,The Flaxen Field,0,0,0,,,,,,,,,
Matthew Entwistle,Return To Venezia,0,0,0,,,,,,,,,
Michael Kropf,All Good Things,0,0,0,,,,,,,,,
Midnight Blue,Stars Are Screaming,0,0,0,,,,,,,,,
Music Delta,Bebop Jazz,0,0,0,,,,,,,,,
Music Delta,Chinese Chao Zhou,0,0,0,,,,,,,,,
Music Delta,Chinese Drama,0,0,0,,,,,,,,,
Music Delta,Chinese Henan Style,0,0,0,,,,,,,,,
Music Delta,Chinese Jiang Nan,0,0,0,,,,,,,,,
Music Delta,Chinese Xin Jing,0,0,0,,,,,,,,,
Music Delta,Chinese Yao Zu,0,0,0,,,,,,,,,
Music Delta,Cool Jazz,0,0,0,,,,,,,,,
Music Delta,Free Jazz,0,0,0,,,,,,,,,
Music Delta,Funk Jazz,0,0,0,,,,,,,,,
Music Delta,Fusion Jazz,0,0,0,,,,,,,,,
Music Delta,Latin Jazz,0,0,0,,,,,,,,,
Music Delta,Modal Jazz,0,0,0,,,,,,,,,
Music Delta,Pachelbel Canon,0,0,0,,,,,,,,,
Music Delta,Shadows,0,0,0,,,,,,,,,
Music Delta,Speed Metal,0,0,0,,,,,,,,,
Music Delta,Swing Jazz,0,0,0,,,,,,,,,
Music Delta,Vivaldi,0,0,0,,,,,,,,,
Music Delta,Zeppelin,0,0,0,,,,,,,,,
Music Delta,Beethoven,0,0,0,,,,,,,,,
Music Delta,Grieg Trolltog,0,0,0,,,,,,,,,
Music Delta,In the Hall of the Mountain King,0,0,0,,,,,,,,,
Mutual Benefit,Not For Nothing,0,0,0,,,,,,,,,
NYU,Lenfant prodigue,0,0,0,,,,,,,,,
NYU,Tornami a Vagheggiar,0,0,0,,,,,,,,,
NYU,Bester Jungling,0,0,0,,,,,,,,,
NYU,Dies Bildnis,0,0,0,,,,,,,,,
NYU,Erstarrung,0,0,0,,,,,,,,,
NYU,Mignon (Kennst du das Land) Op.92a Mvt.1,0,0,0,,,,,,,,,
NYU,Die Bekherte,0,0,0,,,,,,,,,
Plasma,Good Shout,0,0,0,,,,,,,,,
Police Hearing Department,Brahms,0,0,0,,,,,,,,,
Police Hearing Department,Schumann Movement 1,0,0,0,,,,,,,,,
Police Hearing Department,Schumann Movement 2,0,0,0,,,,,,,,,
Police Hearing Department,Vivaldi Movement 1,0,0,0,,,,,,,,,
Police Hearing Department,Vivaldi Movement 2,0,0,0,,,,,,,,,
Police Hearing Department,Vivaldi Movement 3,0,0,0,,,,,,,,,
Purling Hiss,Lolita,0,0,0,,,,,,,,,
Quantum Chromos,Circuits,0,0,0,,,,,,,,,
Rodrigo Bonelli,Ballad for Laura,0,0,0,,,,,,,,,
Sasquatch Connection,Boom Boxing,0,0,0,,,,,,,,,
Sasquatch Connection,Holy Clams Batman,0,0,0,,,,,,,,,
Sasquatch Connection,Illuminati,0,0,0,,,,,,,,,
Sasquatch Connection,Struttin,0,0,0,,,,,,,,,
Sasquatch Connection,Thanks a Latte,0,0,0,,,,,,,,,
Slow Ghost,First Snow,0,0,0,,,,,,,,,
Slow Ghost,Midnight Groove,0,0,0,,,,,,,,,
Slow Ghost,Peanut,0,0,0,,,,,,,,,
Slow Ghost,You’re a Mystery,0,0,0,,,,,,,,,
Song Yi Jeon,Two Moons,0,0,0,,,,,,,,,
SWEAT,Almost Always,0,0,0,,,,,,,,,
SWEAT,Anecdoche,0,0,0,,,,,,,,,
SWEAT,Elegy,0,0,0,,,,,,,,,
SWEAT,Mesozoic,0,0,0,,,,,,,,,
Sweat,SN 1572,0,0,0,,,,,,,,,
SWEAT,Tact,0,0,0,,,,,,,,,
Tabla Breakbeat Science,Animoog,0,0,0,,,,,,,,,
Tabla Breakbeat Science,Captain Sky,0,0,0,,,,,,,,,
Tabla Breakbeat Science,Milo vs Mongo,0,0,0,,,,,,,,,
Tabla Breakbeat Science,Moody Plucks,0,0,0,,,,,,,,,
Tabla Breakbeat Science,Phase Transition,0,0,0,,,,,,,,,
Tabla Breakbeat Science,Rock Steady,0,0,0,,,,,,,,,
Tabla Breakbeat Science,Scorpio,0,0,0,,,,,,,,,
Tabla Breakbeat Science,Vger,0,0,0,,,,,,,,,
Tabla Breakbeat Science,WhoIsIt,0,0,0,,,,,,,,,
Tempered Elan,Dorothy Jeanne,0,0,0,,,,,,,,,
Tempered Elan,Wise One,0,0,0,,,,,,,,,
The Franck Duo,Franck Violin Sonata in A Major Movement 1,0,0,0,,,,,,,,,
The Franck Duo,Franck Violin Sonata in A Major Movement 2,0,0,0,,,,,,,,,
The Kitchenettes,Alive,0,0,0,,,,,,,,,
The NoHo String Orchestra,Elgar Movement 1,0,0,0,,,,,,,,,
The NoHo String Orchestra,Elgar Movement 2,0,0,0,,,,,,,,,
The NoHo String Orchestra,Elgar Movement 3,0,0,0,,,,,,,,,
The Ton Tons,Lush,0,0,0,,,,,,,,,
Tleilax Ensemble,Late,0,0,0,,,,,,,,,
Tleilax Ensemble,Melancholy Flowers,0,0,0,,,,,,,,,
Trevor and the Soundwaves,Alone and Sad,0,0,0,,,,,,,,,
Amar Lal,Rest,1,1,1,amar.bandcamp.com/track/rest,,,,,,,,
Amar Lal,Spring Day 1,1,1,1,https://amar.bandcamp.com/track/spring-day-1?from=search&search_item_id=3562275797&search_item_type=t&search_match_part=%3F&search_page_id=4447017907&search_page_no=1&search_rank=1&search_sig=b4babc6f91609563e28b7ad3230aedd4,,,,,,,,
Amos A,Flying,1,1,1,https://aimeenorwich.bandcamp.com/track/flying-2,,,,,,,,
Cassandra Jenkins,Perfect Day,1,1,1,https://wvmusic.bandcamp.com/track/perfect-day,,,,,,https://cassandrajenkins.bandcamp.com/,,
Cat Martino,I Promise,1,1,1,https://strangercat.bandcamp.com/album/i-promise-single-ft-sufjan-stevens-chris-powell-of-man-man,,,,,,,,
Cayetana,Miss Thing,1,1,1,https://wvmusic.bandcamp.com/track/miss-thing,,,,,,,,
Clara Berry and Wooldog,Boys,1,1,0,,,https://open.spotify.com/track/6CRA4wN0vPru9xQiMnbcHm,,,,,,
Clara Berry and Wooldog,The Bad Guys,1,1,0,,,https://open.spotify.com/track/71FCTGoTALaIZ1fSkwcwqt,,,,,,
Dead Milkmen,Prisoner's Cinema,1,1,1,https://wvmusic.bandcamp.com/track/prisoners-cinema,,,,,,,,
Grants,Punch Drunk,1,1,1,https://wvmusic.bandcamp.com/track/punch-drunk?from=search&search_item_id=1633499397&search_item_type=t&search_match_part=%3F&search_page_id=4446518522&search_page_no=1&search_rank=1&search_sig=ab5a82596424689f9136ca4950ec4f29,,,,,,,,
Joel Helander,Definition,1,1,1,https://joelhelander.bandcamp.com/track/definition?from=search&search_item_id=110456323&search_item_type=t&search_match_part=%3F&search_page_id=4446519238&search_page_no=1&search_rank=1&search_sig=48044aabb5c529e8e42d2b33677c0af9,,,,,,,,
Joel Helander,Excessive Resistance to Change,1,1,1,https://joelhelander.bandcamp.com/track/excessive-resistance-to-change?from=search&search_item_id=1831105342&search_item_type=t&search_match_part=%3F&search_page_id=4446519566&search_page_no=1&search_rank=1&search_sig=20c1ebd5fec7a0c98062120b5c7e862d,,,,,,,,
Joel Helander,In the Attic Bedroom (Suite Part Three),1,1,1,https://joelhelander.bandcamp.com/track/in-the-attic-bedroom-suite-part-three?from=search&search_item_id=3440864721&search_item_type=t&search_match_part=%3F&search_page_id=4446519851&search_page_no=1&search_rank=1&search_sig=0429f878e870237b926f9bcb6326cadc,,,,,,,,
Lewis And Clarke,The Silver Sea,1,1,1,https://wvmusic.bandcamp.com/track/the-silver-sea?from=search&search_item_id=3712986399&search_item_type=t&search_match_part=%3F&search_page_id=4446532597&search_page_no=1&search_rank=1&search_sig=5fc0faaa61995cf679548fc14a9c302b,,,,,,,,
Little Tybee,The Alchemist,1,1,1,https://wvmusic.bandcamp.com/track/the-alchemist?from=search&search_item_id=489616621&search_item_type=t&search_match_part=%3F&search_page_id=4446532809&search_page_no=1&search_rank=1&search_sig=8c739027c8b34205581bc17b0de5e96f,,,,,,,,
Midnight Blue,Hunting Season,1,1,1,https://midnightblue.bandcamp.com/track/hunting-season?from=search&search_item_id=3551226909&search_item_type=t&search_match_part=%3F&search_page_id=4446534915&search_page_no=1&search_rank=1&search_sig=4ab3fa29b24e383c9ac63a59f35db319,,,,,,,,
Pattern Is Movement,Save Me,1,1,1,https://wvmusic.bandcamp.com/track/save-me?from=search&search_item_id=1517929942&search_item_type=t&search_match_part=%3F&search_page_id=4446535478&search_page_no=1&search_rank=1&search_sig=912ed921b71214a94fd8a54adcafe072,,,,,,,,
Peter Matthew Bauer,You Always Look For Someone Lost,1,1,1,https://petermatthewbauer.bandcamp.com/track/you-always-look-for-someone-lost?from=search&search_item_id=265104652&search_item_type=t&search_match_part=%3F&search_page_id=4446535685&search_page_no=1&search_rank=2&search_sig=cab8c21e7e00b9bf0e5434773ca100cd,,,,,,,,
Phoenix,The Broken Pledge - Chicago Reel,1,1,1,https://phoenix-danceband.bandcamp.com/track/the-broken-pledge-the-chicago-reel?from=search&search_item_id=2040778800&search_item_type=t&search_match_part=%3F&search_page_id=4446536249&search_page_no=1&search_rank=1&search_sig=6e1c9960d5354bbb12d3746d8f86a6c4,,,,,,,,
Phoenix,The Collier's Daughter,1,1,1,https://phoenix-danceband.bandcamp.com/track/the-colliers-daughter?from=search&search_item_id=3050722699&search_item_type=t&search_match_part=%3F&search_page_id=4446536464&search_page_no=1&search_rank=1&search_sig=b734d35f4aa7200c519c98b4d8e83b48,,,,,,,,
Phoenix,Elzic's Farewell,1,1,1,https://phoenix-danceband.bandcamp.com/track/elzics-farewell,,,,,,,,
Phoenix,Lark On The Strand - Drummond Castle,1,1,1,https://phoenix-danceband.bandcamp.com/track/the-lark-on-the-strand-drummond-castle,,,,,,,,
Phoenix,Lark On The Strand - Drummond Castle,1,1,1,https://phoenix-danceband.bandcamp.com/track/the-lark-on-the-strand-drummond-castle,,,,,,,,
Phoenix,Sean Caughlin's - The Scartaglen,1,1,1,https://phoenix-danceband.bandcamp.com/track/sean-caughlins-the-scartaglen,,,,,,,,
Torres,New Skin,1,1,1,https://torrestorrestorres.bandcamp.com/track/new-skin?from=search&search_item_id=3713040422&search_item_type=t&search_match_part=%3F&search_page_id=4446539509&search_page_no=1&search_rank=2&search_sig=45385405e132691663b8d143966efdcb,,,,,,,,
Verdi,Il Trovatore,1,1,1,https://readopera.bandcamp.com/album/verdi-il-trovatore?from=search&search_item_id=1606598602&search_item_type=a&search_match_part=%3F&search_page_id=4446540046&search_page_no=1&search_rank=1&search_sig=46747b758d8330feff6e349aaa379b30,,,,,,,,